name,price_level,rating,types,user_ratings_total,place_id,hidden_gem
Cinema Bakery,2,4.5,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",2732,ChIJJ9EYdFj_ei4Rwcr9mZCBmas,1
GEMAHRIPAH78 WAROENG JOGJAKARTA,2,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",292,ChIJHVFenDJbei4RqP0tu3iSG88,1
Warung Tuman BSD,2,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",3412,ChIJ3QHJ3A7laS4RnE--2dQVeJ0,1
wagokoro Jakal,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",307,ChIJI_CEzvpZei4ROnW18peB8qY,1
MIAMUR Mie Ayam Jamur,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",198,ChIJ5eVjBsVXei4RyyaBYH8xIvM,1
Tikno Chicken 2,1,4.7,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",209,ChIJLYPzIJ9Xei4R1rykWcF-DC4,1
Ayam goreng Suntari Pasar Pathok,,4.6,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",19,ChIJazgCKSFXei4RzEuohXhoses,1
Wedang Tahu Bu Kardi,1,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",745,ChIJ_QJywztYei4RmI2ccARjmz0,1
Jenang Bu Gesti,,4.9,"['point_of_interest', 'establishment']",18,ChIJe1dpTGtZei4RZRkVIl-peFA,1
Nasi jagung Pawon Mbah Samin Jogja,,4.4,"['food', 'point_of_interest', 'establishment']",40,ChIJDdjd0Ilbei4R1d-QnkP1nNY,1
Warung Makan Mamiku,1,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",338,ChIJwc-XTgVZei4RBiHAxHaJm08,1
Vindoty's kitchen and lab,,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",126,ChIJN9Neh89Zei4RLFara6SzcBA,1
Kedai Rukun Local Cuisine & Brew,2,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",923,ChIJsz7S8_ZXei4RM9L2Zkcfk1Y,1
Tepikota Bejen,,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",64,ChIJ57AQep31ei4RsfWqyy72Qkk,1
YAMIEN 69,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",189,ChIJJ75RB5RZei4RYa8kPri5Kac,1
Bakso Putu Sidosemi ꧋ꦧꦏ꧀ꦱꦺꦴꦥꦸꦠꦸꦱꦶꦣꦺꦴꦱꦺꦩꦶ,,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",137,ChIJv9cNwBlXei4RL9Ybaek5rhs,1
Warung Demen Ayam Cha Do Jo,1,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",2076,ChIJ_W4xG8JZei4RlwDS8cuTxQs,1
Gelora Baik,2,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",115,ChIJZzqWfxBXei4RfC7Fr4IpDMg,1
Kopi Sembilan,1,4.6,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",455,ChIJTwZhrFNYei4R00VBFwD35ZI,1
Gudeg Kangen Mbah Manto Gejayan,1,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",887,ChIJ6z2OFKRZei4RCAUKNJnCtzQ,1
E.T. Bakery,,4.8,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']",36,ChIJxbO5OiLzaS4RHkcW4IAho1w,1
Ketupat Sayur Rendang Kanai Hati,,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",111,ChIJ4-bVgazzaS4RdHwG4PTfcf8,1
Nasi Uduk Ibu Siti,1,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",76,ChIJwaXTHyfzaS4RUWCOeHL3arw,1
Pecel Lele kremes Rekayasa,,4.9,"['restaurant', 'point_of_interest', 'food', 'establishment']",22,ChIJJ169goPzaS4RfpTg84uI1QY,1
Soto Sob H.Asmawi,1,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",1495,ChIJRfi9LTPyaS4R11qPhYiU57U,1
Es Puter & Es Krim Brasil - Mampang Prapatan,,3.9,"['food', 'point_of_interest', 'store', 'establishment']",10,ChIJa3UGvNvzaS4R0Pobk9QB0hI,1
Pempek Muno Resto,1,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",158,ChIJu99dPmLxaS4RvP24YCXCA6M,1
D'Kriuk Fried Chicken Kebon Kacang,,4.8,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",6,ChIJo_ceo8L1aS4RDya_7DfYdWk,1
Kaffeine Kline,,4.7,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",710,ChIJEzAyyQ_zaS4RMWkhIdai7P4,1
Bakmi Garing,2,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",401,ChIJncynWP7zaS4RBUJcLRDqovU,1
Selow The Bbq Artisans Wijaya,,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",7,ChIJAUw7luvxaS4RdsGdY02ch6g,1
Nasi Kapau Langganan,2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",548,ChIJOZrM-5_xaS4RM91LYwvFx_k,1
Street Boba Ampera Kemang,2,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",308,ChIJCWQBEoPxaS4R5ZMfi3DQqZo,1
Gila Gila Nasi Gila,,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",16,ChIJyzvzkMPxaS4RR-Ct4-PQf9U,1
